"rank","change","name","steamName","psnName","xboxName","clubTag","leagueNumber","league","rankScore","RecordedAt"
"3465","2668","Trumman#6019","Trumman","","","HSD","13","Platinum 4","31829","2026-01-02 21:44"
"2360","543","turbo#9840","turbo","","","HSD","14","Platinum 3","33214","2026-01-02 21:44"
"2613","690","mike#2329","mike","","","HSD","14","Platinum 3","32854","2026-01-02 21:44"
"2171","2850","Trumman#6019","Trumman","","","HSD","14","Platinum 3","33559","2026-01-03 02:21"
"1620","1566","turbo#9840","turbo","","","HSD","14","Platinum 3","34829","2026-01-03 02:21"
"1741","990","mike#2329","mike","","","HSD","14","Platinum 3","34498","2026-01-03 02:21"
"2315","-146","Trumman#6019","Trumman","","","HSD","14","Platinum 3","33559","2026-01-04 00:36"
"1326","285","turbo#9840","turbo","","","HSD","15","Platinum 2","36005","2026-01-04 00:36"
"1403","337","mike#2329","mike","","","HSD","15","Platinum 2","35695","2026-01-04 00:36"
"2392","-87","Trumman#6019","Trumman","","","HSD","14","Platinum 3","33559","2026-01-05 00:02"
"1219","271","turbo#9840","turbo","","","HSD","15","Platinum 2","36557","2026-01-05 00:02"
"1308","294","mike#2329","mike","","","HSD","15","Platinum 2","36256","2026-01-05 00:02"
"1699","693","Trumman#6019","Trumman","","","HSD","15","Platinum 2","35263","2026-01-06 00:16"
"972","249","turbo#9840","turbo","","","HSD","16","Platinum 1","38012","2026-01-06 00:16"
"1019","285","mike#2329","mike","","","HSD","16","Platinum 1","37736","2026-01-06 00:16"
"1636","65","Trumman#6019","Trumman","","","HSD","15","Platinum 2","35715","2026-01-07 00:30"
"929","43","turbo#9840","turbo","","","HSD","16","Platinum 1","38524","2026-01-07 00:30"
"999","19","mike#2329","mike","","","HSD","16","Platinum 1","38126","2026-01-07 00:30"
"1480","155","Trumman#6019","Trumman","","","HSD","15","Platinum 2","36327","2026-01-08 00:01"
"962","-36","turbo#9840","turbo","","","HSD","16","Platinum 1","38524","2026-01-08 00:01"
"938","62","mike#2329","mike","","","HSD","16","Platinum 1","38662","2026-01-08 00:01"
"1402","79","Trumman#6019","Trumman","","","HSD","15","Platinum 2","36847","2026-01-09 00:01"
"923","39","turbo#9840","turbo","","","HSD","16","Platinum 1","38970","2026-01-09 00:01"
"824","112","mike#2329","mike","","","HSD","16","Platinum 1","39664","2026-01-09 00:01"
"1018","385","Trumman#6019","Trumman","","","HSD","16","Platinum 1","38801","2026-01-10 00:02"
"716","209","turbo#9840","turbo","","","HSD","17","Diamond 4","40548","2026-01-10 00:02"
"666","160","mike#2329","mike","","","HSD","17","Diamond 4","41026","2026-01-10 00:02"
"964","54","Trumman#6019","Trumman","","","HSD","16","Platinum 1","39397","2026-01-11 00:08"
"684","33","turbo#9840","turbo","","","HSD","17","Diamond 4","41080","2026-01-11 00:08"
"625","40","mike#2329","mike","","","HSD","17","Diamond 4","41541","2026-01-11 00:08"
"987","-3","Trumman#6019","Trumman","","","HSD","16","Platinum 1","39750","2026-01-12 16:47"
"693","9","turbo#9840","turbo","","","HSD","17","Diamond 4","41268","2026-01-12 16:47"
"639","-13","mike#2329","mike","","","HSD","17","Diamond 4","41886","2026-01-12 16:47"
"950","32","Trumman#6019","Trumman","","","HSD","17","Diamond 4","40145","2026-01-13 12:15"
